cd_cnpj,nm_razao_social
20974862000122,ONTIMEX LOG TRANSPORTES LTDA
21047223000184,NAWROSKI TRANSPORTES LTDA
21083356000106,TRANS CLOSED TRANSPORTES LTDA
21101577000160,GT GERACAO TRANSPORTES EIRELI
21165081000150,PGALOG TRANSPORTES E LOGISTICA LTDA
21431965000109,LE TRANSPORTES LTDA
21547405000167,RODOMAFE TRANSPORTES EIRELI
21730208000136,GUA DESTE TRANSPORTE E LOGISTICA EIRELI
21809527000131,RVW LOG LTDA
21849041000127,MTL TRANSPORTES LTDA
22036482000172,DTA CARGO LTDA
22055662000100,JRS EMPRESAS EIRELI
22108960000102,RGTRANS TRANSPORTES LTDA
32121256000116,SEGMA TRANSPORTE E LOGISTICA EIRELI
22123935000106,JOMINI LOGISTICA EIRELI
22261862000100,TORNADO LOGISTICA EIRELI
22507132000147,MD CARGO TRANSPORTES LTDA
22787259000167,BRILOG LOGISTICA MULTIMODAL LTDA
22793344000138,RJ EXPRESS EIRELI
22884119000107,PRILOG LOGISTICA E TRANSPORTE LTDA
22913819000182,PDLG LOGISTICA DE DISTRIBUICAO EIRELI
22922655000150,TRANSNOVAIS MUDANCAS E TRANSPORTES LTDA
23081049000111,JOLOG TRANSPORTES E LOGISTICA EIRELI
23083404000191,CKL TRANSPORTES E LOGISTICA EIRELI
23149095000105,JLGG TRANSPORTES EIRELI
23154251000126,JR TRANSPORTADORA EIRELI
23353270000181,TRANSTATUI EXPRESS CARGO LTDA
23383155000150,CJN TRANSPORTES LTDA
23471988000172,WMJ TRANSPORTADORA LTDA
23592607000103,DRE TRANSCARGAS LTDA
23864838000129,MERIDIONAL CARGAS LTDA
24031136000127,JAVE TRANSPORTES LTDA
24187141000123,LOGISTICA & EXPRESS LTDA
24455624000161,GKR TRANSPORTES EIRELI
24502933000145,AGIEX TRANSPORTES E LOGISTICA LTDA
24660388000115,PG LOG TRANSPORTES E LOGISTICA EIRELI
24705143000167,TERUSLOG TRANSPORTES E LOGISTICA LTDA
24732677000182,AGF TRANSPORTES LTDA
25061909000180,SACRA LOG TRANSPORTES LTDA
25250408000142,TRANSCARJO TRANSPORTES LTDA
25786831000161,GRANCUCAR TRANSPORTES LTDA
25861063000163,JFW TRANSPORTADORA LTDA
25862889000147,TR TRANSPORTES LTDA
26193849000112,ODECAM TRANSPORTES LTDA
26339044000134,JORADO TRANSPORTES LTDA
27285920000150,AGYLIZZY TRANSPORTES EIRELI
28743813000190,RODORIO TRANSPORTES LTDA
39041579000176,BRASPORT BRASIL TRANSPORTES LTDA
41676545000108,MINAS STAR EXPRESS LTDA
41751421000131,REQUIN TRANSPORTES LTDA
43111434000171,JS TRANSPORTES LTDA
43566686000195,RODOJAN TRANSPORTES LTDA
44010320000106,E MARTINS DOS SANTOS TRANSPORTES
44689768000190,TQUIM TRANSPORTES LTDA
44804185000162,SABUGI LOGISTICA LTDA
45044070000180,JTR CARGAS LTDA
45386448000123,RODOCERTO TRANSPORTES LTDA
46051439000144,PROBO TRANSPORTES LTDA
46435293000130,ANDORINHA TRANSPORTADORA LTDA
46515946000191,NOVORUMO TRANSPORTES LTDA
46711198000112,TRANSMOGI LTDA
46771804000195,SISTEMA TRANSPORTES SA
46968905000150,HIPER TRANSPORTES LTDA
47254412000111,IPIRANGA TRANSPORTES LTDA
48595631000127,FRARELOG TRANSPORTES LTDA
48767099000188,CENTRO SUL TRANSPORTES LTDA
49358138000156,AEROMAR TRANSPORTES LTDA
49415508000140,PRATA TRANSPORTES LTDA
49475973000176,CISNE BRANCO TRANSPORTES LTDA
49818222000105,CISNE BRANCO TRANSPORTES LTDA
50095215000101,DIMAVAL TRANSPORTES LTDA
50282854000186,RC TRANSPORTES LTDA
50335371000100,SOTRAMPO TRANSPORTES LTDA
50505924000118,TRANSMOB TRANSPORTES LTDA
50971456000177,PRUDENTINO TRANSPORTES LTDA
51641405000140,ESTRELA LOGISTICA E TRANSPORTES LTDA
51981348000148,EURO TRUCK TRANSLOG LTDA
52067030000119,ESTRADA TRANSPORTES LTDA
52744828000158,APOLO TRANSPORTES LTDA
53040002000170,GRA TRANSPORTES PESADOS LTDA
53337200000109,RAPACI TRANSPORTES LTDA
53613295000138,RODACEL TRANSPORTES LTDA
53656427000109,TRANSMAURE TRANSPORTES LTDA
